"Qty","Reference(s)","description","mfg1","mfg1pn","mfg2","mfg2pn"
"1","BT1","","","","",""
"1","C1","","Samsung Electro-Mechanics","CL21B105KBFNNNG","",""
"4","C2, C4, C9, C10","","Taiyo Yuden","UMK325AB7106MMHP","",""
"5","C3, C5, C6, C7, C8","","AVX","08055C104KAT2A","",""
"2","D1, D2","","Micro Commercial Components","1N4148W-TP","",""
"1","D3","","Vishay Semiconductors","BAT54W-HG3-08","",""
"1","D4","","Nexperia","PRTR5V0U2X,215","",""
"1","FB1","","Murata Electronics","BLM21AG151SN1D","",""
"1","J1","","Samtec","FTSH-105-01-F-D-RA-K","",""
"1","J2","","Amphenol","12401610E4#2A","",""
"1","J3","","JST Sales America","S3B-PH-K-S(LF)(SN)","",""
"1","J4","","RF Solutions","CON-SMA-EDGE-S","",""
"1","L1","","Taiyo Yuden","LBC2518T4R7M","",""
"3","Q1, Q4, Q5","","Vishay Semiconductors","SI3443DDV-T1-GE3","",""
"1","Q2","","Diodes Incorporated","MMBT4403-7-F","",""
"1","Q3","","Diodes Incorporated","MMBT4401-7-F","",""
"5","R1, R2, R3, R5, R8","","Vishay / Dale","CRCW0805100KJNEAC","",""
"1","R4","","Panasonic","ERJ-6GEYJ274V","",""
"2","R6, R7","","Panasonic","ERJ-6GEYJ514V","",""
"2","R9, R10","","Yageo","RC0805JR-075K1L","",""
"1","U1","","Microchip","ATSAMD21E18A-AU","",""
"1","U2","","Texas Instruments","LM3480IM3-3.3/NOPB","",""
"1","U3","","Texas Instruments","TPS61097A-33DBVR","",""
"1","U4","","RF Solutions","RFM95W-915S2","",""
"1","","","LPRS","ANT-SR900","",""
"2","","","Penn Engineering","KF2-440-ET","",""
"2","","","Keystone","9902","",""
